GPU: NVIDIA GeForce RTX 3080 Ti
GPU memory: 12038.19 MB
Epoch [100/200000] Training Loss: 0.00246562 Testing Loss: 0.00202393 || lr: [0.001]
Epoch [5400/200000] Training Loss: 0.00000667 Testing Loss: 0.00000679 || lr: [0.001]
Epoch [5500/200000] Training Loss: 0.00000632 Testing Loss: 0.00000643 || lr: [0.001]
Epoch [5600/200000] Training Loss: 0.00001303 Testing Loss: 0.00001055 || lr: [0.001]
Epoch [5700/200000] Training Loss: 0.00000621 Testing Loss: 0.00000633 || lr: [0.001]
Epoch [5800/200000] Training Loss: 0.00000589 Testing Loss: 0.00000600 || lr: [0.001]
Epoch [5900/200000] Training Loss: 0.00000637 Testing Loss: 0.00000686 || lr: [0.001]
Epoch [6000/200000] Training Loss: 0.00000566 Testing Loss: 0.00000576 || lr: [0.001]
Epoch [6100/200000] Training Loss: 0.00000542 Testing Loss: 0.00000552 || lr: [0.001]
Epoch [6200/200000] Training Loss: 0.00001574 Testing Loss: 0.00001151 || lr: [0.001]
Epoch [6300/200000] Training Loss: 0.00000535 Testing Loss: 0.00000545 || lr: [0.001]
Epoch [6400/200000] Training Loss: 0.00000507 Testing Loss: 0.00000516 || lr: [0.001]
Epoch [6500/200000] Training Loss: 0.00000565 Testing Loss: 0.00000557 || lr: [0.001]
Epoch [6600/200000] Training Loss: 0.00000486 Testing Loss: 0.00000496 || lr: [0.001]
Epoch [6700/200000] Training Loss: 0.00003262 Testing Loss: 0.00004759 || lr: [0.001]
Epoch [6800/200000] Training Loss: 0.00000479 Testing Loss: 0.00000488 || lr: [0.001]
Epoch [6900/200000] Training Loss: 0.00000452 Testing Loss: 0.00000461 || lr: [0.001]
Epoch [7000/200000] Training Loss: 0.00014463 Testing Loss: 0.00006496 || lr: [0.001]
Epoch [7100/200000] Training Loss: 0.00000460 Testing Loss: 0.00000470 || lr: [0.001]
Epoch [7200/200000] Training Loss: 0.00000430 Testing Loss: 0.00000439 || lr: [0.001]
Epoch [7300/200000] Training Loss: 0.00001541 Testing Loss: 0.00001492 || lr: [0.001]
Epoch [7400/200000] Training Loss: 0.00000419 Testing Loss: 0.00000428 || lr: [0.001]
Epoch [7500/200000] Training Loss: 0.00000398 Testing Loss: 0.00000407 || lr: [0.001]
Epoch [7600/200000] Training Loss: 0.00005977 Testing Loss: 0.00005136 || lr: [0.001]
Epoch [7700/200000] Training Loss: 0.00000397 Testing Loss: 0.00000406 || lr: [0.001]
Epoch [7800/200000] Training Loss: 0.00000373 Testing Loss: 0.00000381 || lr: [0.001]
Epoch [7900/200000] Training Loss: 0.00006959 Testing Loss: 0.00015971 || lr: [0.001]
Epoch [8000/200000] Training Loss: 0.00000373 Testing Loss: 0.00000382 || lr: [0.001]
Epoch [8100/200000] Training Loss: 0.00000348 Testing Loss: 0.00000356 || lr: [0.001]
Epoch [8200/200000] Training Loss: 0.00000796 Testing Loss: 0.00001091 || lr: [0.001]
Epoch [8300/200000] Training Loss: 0.00000338 Testing Loss: 0.00000346 || lr: [0.001]
Epoch [8400/200000] Training Loss: 0.00000324 Testing Loss: 0.00000332 || lr: [0.001]
Epoch [8500/200000] Training Loss: 0.00001867 Testing Loss: 0.00001018 || lr: [0.001]
Epoch [8600/200000] Training Loss: 0.00000323 Testing Loss: 0.00000331 || lr: [0.001]
Epoch [8700/200000] Training Loss: 0.00000305 Testing Loss: 0.00000313 || lr: [0.001]
Epoch [8800/200000] Training Loss: 0.00000358 Testing Loss: 0.00000392 || lr: [0.001]
Epoch [8900/200000] Training Loss: 0.00000294 Testing Loss: 0.00000301 || lr: [0.001]
Epoch [9000/200000] Training Loss: 0.00000283 Testing Loss: 0.00000290 || lr: [0.001]
Epoch [9100/200000] Training Loss: 0.00000340 Testing Loss: 0.00000349 || lr: [0.001]
Epoch [9200/200000] Training Loss: 0.00000283 Testing Loss: 0.00000291 || lr: [0.001]
Epoch [9300/200000] Training Loss: 0.00027499 Testing Loss: 0.00056008 || lr: [0.001]
Epoch [9400/200000] Training Loss: 0.00000359 Testing Loss: 0.00000366 || lr: [0.001]
Epoch [9500/200000] Training Loss: 0.00000293 Testing Loss: 0.00000301 || lr: [0.001]
Epoch [9600/200000] Training Loss: 0.00000273 Testing Loss: 0.00000281 || lr: [0.001]
Epoch [9700/200000] Training Loss: 0.00000261 Testing Loss: 0.00000269 || lr: [0.001]
Epoch [9800/200000] Training Loss: 0.00000255 Testing Loss: 0.00000263 || lr: [0.001]
Epoch [9900/200000] Training Loss: 0.00000245 Testing Loss: 0.00000253 || lr: [0.001]
Epoch [10000/200000] Training Loss: 0.00001642 Testing Loss: 0.00002527 || lr: [0.001]
Epoch [10100/200000] Training Loss: 0.00000268 Testing Loss: 0.00000275 || lr: [0.001]
Epoch [10200/200000] Training Loss: 0.00000248 Testing Loss: 0.00000256 || lr: [0.001]
Epoch [10300/200000] Training Loss: 0.00000267 Testing Loss: 0.00000277 || lr: [0.001]
Epoch [10400/200000] Training Loss: 0.00000234 Testing Loss: 0.00000242 || lr: [0.001]
Epoch [10500/200000] Training Loss: 0.00004482 Testing Loss: 0.00006119 || lr: [0.001]
Epoch [10600/200000] Training Loss: 0.00000240 Testing Loss: 0.00000248 || lr: [0.001]
Epoch [10700/200000] Training Loss: 0.00002450 Testing Loss: 0.00000788 || lr: [0.001]
Epoch [10800/200000] Training Loss: 0.00000224 Testing Loss: 0.00000231 || lr: [0.001]
Epoch [10900/200000] Training Loss: 0.00000214 Testing Loss: 0.00000221 || lr: [0.001]
Epoch [11000/200000] Training Loss: 0.00000608 Testing Loss: 0.00000930 || lr: [0.001]
Epoch [11100/200000] Training Loss: 0.00000212 Testing Loss: 0.00000219 || lr: [0.001]
Epoch [11200/200000] Training Loss: 0.00005125 Testing Loss: 0.00001135 || lr: [0.001]
Epoch [11300/200000] Training Loss: 0.00000208 Testing Loss: 0.00000215 || lr: [0.001]
Epoch [11400/200000] Training Loss: 0.00001622 Testing Loss: 0.00008739 || lr: [0.001]
Epoch [11500/200000] Training Loss: 0.00000199 Testing Loss: 0.00000206 || lr: [0.001]
Epoch [11600/200000] Training Loss: 0.00000189 Testing Loss: 0.00000196 || lr: [0.001]
Epoch [11700/200000] Training Loss: 0.00000183 Testing Loss: 0.00000189 || lr: [0.001]
Epoch [11800/200000] Training Loss: 0.00000330 Testing Loss: 0.00000315 || lr: [0.001]
Epoch [11900/200000] Training Loss: 0.00000186 Testing Loss: 0.00000194 || lr: [0.001]
Epoch [12000/200000] Training Loss: 0.00000180 Testing Loss: 0.00000186 || lr: [0.001]
Epoch [12100/200000] Training Loss: 0.00000171 Testing Loss: 0.00000178 || lr: [0.001]
Epoch [12200/200000] Training Loss: 0.00000795 Testing Loss: 0.00000798 || lr: [0.001]
Epoch [12300/200000] Training Loss: 0.00000183 Testing Loss: 0.00000189 || lr: [0.001]
Epoch [12400/200000] Training Loss: 0.00000208 Testing Loss: 0.00000220 || lr: [0.001]
Epoch [12500/200000] Training Loss: 0.00000237 Testing Loss: 0.00000237 || lr: [0.001]
Epoch [12600/200000] Training Loss: 0.00000161 Testing Loss: 0.00000167 || lr: [0.001]
Epoch [12700/200000] Training Loss: 0.00000195 Testing Loss: 0.00000202 || lr: [0.001]
Epoch [12800/200000] Training Loss: 0.00000153 Testing Loss: 0.00000159 || lr: [0.001]
Epoch [12900/200000] Training Loss: 0.00000166 Testing Loss: 0.00000173 || lr: [0.001]
Epoch [13000/200000] Training Loss: 0.00001072 Testing Loss: 0.00001017 || lr: [0.001]
Epoch [13100/200000] Training Loss: 0.00000210 Testing Loss: 0.00000216 || lr: [0.001]
Epoch [13200/200000] Training Loss: 0.00000297 Testing Loss: 0.00000389 || lr: [0.001]
Epoch [13300/200000] Training Loss: 0.00000172 Testing Loss: 0.00000178 || lr: [0.001]
Epoch [13400/200000] Training Loss: 0.00000159 Testing Loss: 0.00000166 || lr: [0.001]
Epoch [13500/200000] Training Loss: 0.00000430 Testing Loss: 0.00000677 || lr: [0.001]
Epoch [13600/200000] Training Loss: 0.00000149 Testing Loss: 0.00000155 || lr: [0.001]
Epoch [13700/200000] Training Loss: 0.00000141 Testing Loss: 0.00000147 || lr: [0.001]
Epoch [13800/200000] Training Loss: 0.00000147 Testing Loss: 0.00000155 || lr: [0.001]
Epoch [13900/200000] Training Loss: 0.00000135 Testing Loss: 0.00000140 || lr: [0.001]
Epoch [14000/200000] Training Loss: 0.00000547 Testing Loss: 0.00000332 || lr: [0.001]
Epoch [14100/200000] Training Loss: 0.00000128 Testing Loss: 0.00000133 || lr: [0.001]
Epoch [14200/200000] Training Loss: 0.00000123 Testing Loss: 0.00000129 || lr: [0.001]
Epoch [14300/200000] Training Loss: 0.00000161 Testing Loss: 0.00000166 || lr: [0.001]
Epoch [14400/200000] Training Loss: 0.00000163 Testing Loss: 0.00000187 || lr: [0.001]
Epoch [14500/200000] Training Loss: 0.00000122 Testing Loss: 0.00000128 || lr: [0.001]
Epoch [14600/200000] Training Loss: 0.00000142 Testing Loss: 0.00000161 || lr: [0.001]
Epoch [14700/200000] Training Loss: 0.00000135 Testing Loss: 0.00000139 || lr: [0.001]
Epoch [14800/200000] Training Loss: 0.00000116 Testing Loss: 0.00000121 || lr: [0.001]
Epoch [14900/200000] Training Loss: 0.00000111 Testing Loss: 0.00000116 || lr: [0.001]
Epoch [15000/200000] Training Loss: 0.00000108 Testing Loss: 0.00000113 || lr: [0.001]
Epoch [15100/200000] Training Loss: 0.00000106 Testing Loss: 0.00000110 || lr: [0.001]
Epoch [15200/200000] Training Loss: 0.00000104 Testing Loss: 0.00000108 || lr: [0.001]
Epoch [15300/200000] Training Loss: 0.00000191 Testing Loss: 0.00000193 || lr: [0.001]
Epoch [15400/200000] Training Loss: 0.00000128 Testing Loss: 0.00000132 || lr: [0.001]
Epoch [15500/200000] Training Loss: 0.00000121 Testing Loss: 0.00000126 || lr: [0.001]
Epoch [15600/200000] Training Loss: 0.00000113 Testing Loss: 0.00000118 || lr: [0.001]
Epoch [15700/200000] Training Loss: 0.00000108 Testing Loss: 0.00000112 || lr: [0.001]
Epoch [15800/200000] Training Loss: 0.00001634 Testing Loss: 0.00001086 || lr: [0.001]
Epoch [15900/200000] Training Loss: 0.00000113 Testing Loss: 0.00000119 || lr: [0.001]
Epoch [16000/200000] Training Loss: 0.00000104 Testing Loss: 0.00000109 || lr: [0.001]
Epoch [16100/200000] Training Loss: 0.00000100 Testing Loss: 0.00000104 || lr: [0.001]
Epoch [16200/200000] Training Loss: 0.00000095 Testing Loss: 0.00000099 || lr: [0.001]
Epoch [16300/200000] Training Loss: 0.00000320 Testing Loss: 0.00000301 || lr: [0.001]
Epoch [16400/200000] Training Loss: 0.00000094 Testing Loss: 0.00000098 || lr: [0.001]
Epoch [16500/200000] Training Loss: 0.00000747 Testing Loss: 0.00001012 || lr: [0.001]
Epoch [16600/200000] Training Loss: 0.00000098 Testing Loss: 0.00000101 || lr: [0.001]
Epoch [16700/200000] Training Loss: 0.00000112 Testing Loss: 0.00000122 || lr: [0.001]
Epoch [16800/200000] Training Loss: 0.00003284 Testing Loss: 0.00002990 || lr: [0.001]
Epoch [16900/200000] Training Loss: 0.00000100 Testing Loss: 0.00000104 || lr: [0.001]
Epoch [17000/200000] Training Loss: 0.00000091 Testing Loss: 0.00000095 || lr: [0.001]
Epoch [17100/200000] Training Loss: 0.00000087 Testing Loss: 0.00000090 || lr: [0.001]
Epoch [17200/200000] Training Loss: 0.00000085 Testing Loss: 0.00000089 || lr: [0.001]
Epoch [17300/200000] Training Loss: 0.00000135 Testing Loss: 0.00000194 || lr: [0.001]
Epoch [17400/200000] Training Loss: 0.00000084 Testing Loss: 0.00000088 || lr: [0.001]
Epoch [17500/200000] Training Loss: 0.00000089 Testing Loss: 0.00000097 || lr: [0.001]
Epoch [17600/200000] Training Loss: 0.00000223 Testing Loss: 0.00000179 || lr: [0.001]
Epoch [17700/200000] Training Loss: 0.00001128 Testing Loss: 0.00002433 || lr: [0.001]
Epoch [17800/200000] Training Loss: 0.00000083 Testing Loss: 0.00000086 || lr: [0.001]
Epoch [17900/200000] Training Loss: 0.00000081 Testing Loss: 0.00000087 || lr: [0.001]
Epoch [18000/200000] Training Loss: 0.00000122 Testing Loss: 0.00000134 || lr: [0.001]
Epoch [18100/200000] Training Loss: 0.00000404 Testing Loss: 0.00000496 || lr: [0.001]
Epoch [18200/200000] Training Loss: 0.00000280 Testing Loss: 0.00000352 || lr: [0.001]
Epoch [18300/200000] Training Loss: 0.00000121 Testing Loss: 0.00000122 || lr: [0.001]
Epoch [18400/200000] Training Loss: 0.00000086 Testing Loss: 0.00000090 || lr: [0.001]
Epoch [18500/200000] Training Loss: 0.00000085 Testing Loss: 0.00000092 || lr: [0.001]
Epoch [18600/200000] Training Loss: 0.00000079 Testing Loss: 0.00000084 || lr: [0.001]
Epoch [18700/200000] Training Loss: 0.00002970 Testing Loss: 0.00002458 || lr: [0.001]
Epoch [18800/200000] Training Loss: 0.00000084 Testing Loss: 0.00000088 || lr: [0.001]
Epoch [18900/200000] Training Loss: 0.00000078 Testing Loss: 0.00000082 || lr: [0.001]
Epoch [19000/200000] Training Loss: 0.00000076 Testing Loss: 0.00000081 || lr: [0.001]
Epoch [19100/200000] Training Loss: 0.00000116 Testing Loss: 0.00000169 || lr: [0.001]
Epoch [19200/200000] Training Loss: 0.00000072 Testing Loss: 0.00000075 || lr: [0.001]
Epoch [19300/200000] Training Loss: 0.00000091 Testing Loss: 0.00000083 || lr: [0.001]
Epoch [19400/200000] Training Loss: 0.00000348 Testing Loss: 0.00000476 || lr: [0.001]
Epoch [19500/200000] Training Loss: 0.00000072 Testing Loss: 0.00000076 || lr: [0.001]
Epoch [19600/200000] Training Loss: 0.00000180 Testing Loss: 0.00000203 || lr: [0.001]
Epoch [19700/200000] Training Loss: 0.00000069 Testing Loss: 0.00000073 || lr: [0.001]
Epoch [19800/200000] Training Loss: 0.00000069 Testing Loss: 0.00000073 || lr: [0.001]
Epoch [19900/200000] Training Loss: 0.00000080 Testing Loss: 0.00000082 || lr: [0.001]
Epoch [20000/200000] Training Loss: 0.00000068 Testing Loss: 0.00000071 || lr: [0.001]
Epoch [20100/200000] Training Loss: 0.00000067 Testing Loss: 0.00000070 || lr: [0.001]
Epoch [20200/200000] Training Loss: 0.00000152 Testing Loss: 0.00000150 || lr: [0.001]
Epoch [20300/200000] Training Loss: 0.00002946 Testing Loss: 0.00005613 || lr: [0.001]
Epoch [20400/200000] Training Loss: 0.00000071 Testing Loss: 0.00000074 || lr: [0.001]
Epoch [20500/200000] Training Loss: 0.00000065 Testing Loss: 0.00000068 || lr: [0.001]
Epoch [20600/200000] Training Loss: 0.00000063 Testing Loss: 0.00000066 || lr: [0.001]
Epoch [20700/200000] Training Loss: 0.00000063 Testing Loss: 0.00000066 || lr: [0.001]
Epoch [20800/200000] Training Loss: 0.00000076 Testing Loss: 0.00000081 || lr: [0.001]
Epoch [20900/200000] Training Loss: 0.00003172 Testing Loss: 0.00003583 || lr: [0.001]
Epoch [21000/200000] Training Loss: 0.00000071 Testing Loss: 0.00000074 || lr: [0.001]
Epoch [21100/200000] Training Loss: 0.00000064 Testing Loss: 0.00000067 || lr: [0.001]
Epoch [21200/200000] Training Loss: 0.00000062 Testing Loss: 0.00000065 || lr: [0.001]
Epoch [21300/200000] Training Loss: 0.00000061 Testing Loss: 0.00000064 || lr: [0.001]
Epoch [21400/200000] Training Loss: 0.00000595 Testing Loss: 0.00000561 || lr: [0.001]
Epoch [21500/200000] Training Loss: 0.00000066 Testing Loss: 0.00000069 || lr: [0.001]
Epoch [21600/200000] Training Loss: 0.00000061 Testing Loss: 0.00000064 || lr: [0.001]
Epoch [21700/200000] Training Loss: 0.00000062 Testing Loss: 0.00000066 || lr: [0.001]
Epoch [21800/200000] Training Loss: 0.00000059 Testing Loss: 0.00000061 || lr: [0.001]
Epoch [21900/200000] Training Loss: 0.00000058 Testing Loss: 0.00000061 || lr: [0.001]
Epoch [22000/200000] Training Loss: 0.00000314 Testing Loss: 0.00000284 || lr: [0.001]
Epoch [22100/200000] Training Loss: 0.00000101 Testing Loss: 0.00000104 || lr: [0.001]
Epoch [22200/200000] Training Loss: 0.00000080 Testing Loss: 0.00000083 || lr: [0.001]
Epoch [22300/200000] Training Loss: 0.00000072 Testing Loss: 0.00000078 || lr: [0.001]
Epoch [22400/200000] Training Loss: 0.00000069 Testing Loss: 0.00000076 || lr: [0.001]
Epoch [22500/200000] Training Loss: 0.00000061 Testing Loss: 0.00000064 || lr: [0.001]
Epoch [22600/200000] Training Loss: 0.00000060 Testing Loss: 0.00000062 || lr: [0.001]
Epoch [22700/200000] Training Loss: 0.00000060 Testing Loss: 0.00000064 || lr: [0.001]
Epoch [22800/200000] Training Loss: 0.00000106 Testing Loss: 0.00000101 || lr: [0.001]
Epoch [22900/200000] Training Loss: 0.00000290 Testing Loss: 0.00000412 || lr: [0.001]
Epoch [23000/200000] Training Loss: 0.00000094 Testing Loss: 0.00000098 || lr: [0.001]
Epoch [23100/200000] Training Loss: 0.00000067 Testing Loss: 0.00000070 || lr: [0.001]
Epoch [23200/200000] Training Loss: 0.00000060 Testing Loss: 0.00000063 || lr: [0.001]
Epoch [23300/200000] Training Loss: 0.00000065 Testing Loss: 0.00000067 || lr: [0.001]
Epoch [23400/200000] Training Loss: 0.00000057 Testing Loss: 0.00000060 || lr: [0.001]
Epoch [23500/200000] Training Loss: 0.00000078 Testing Loss: 0.00000079 || lr: [0.001]
Epoch [23600/200000] Training Loss: 0.00000059 Testing Loss: 0.00000061 || lr: [0.001]
Epoch [23700/200000] Training Loss: 0.00000056 Testing Loss: 0.00000059 || lr: [0.001]
Epoch [23800/200000] Training Loss: 0.00000055 Testing Loss: 0.00000058 || lr: [0.001]
Epoch [23900/200000] Training Loss: 0.00000126 Testing Loss: 0.00000138 || lr: [0.001]
Epoch [24000/200000] Training Loss: 0.00000057 Testing Loss: 0.00000060 || lr: [0.001]
Epoch [24100/200000] Training Loss: 0.00000055 Testing Loss: 0.00000057 || lr: [0.001]
Epoch [24200/200000] Training Loss: 0.00000054 Testing Loss: 0.00000057 || lr: [0.001]
Epoch [24300/200000] Training Loss: 0.00000053 Testing Loss: 0.00000056 || lr: [0.001]
Epoch [24400/200000] Training Loss: 0.00000055 Testing Loss: 0.00000057 || lr: [0.001]
Epoch [24500/200000] Training Loss: 0.00000126 Testing Loss: 0.00000147 || lr: [0.001]
Epoch [24600/200000] Training Loss: 0.00010211 Testing Loss: 0.00006184 || lr: [0.001]
Epoch [24700/200000] Training Loss: 0.00000119 Testing Loss: 0.00000101 || lr: [0.001]
Epoch [24800/200000] Training Loss: 0.00000183 Testing Loss: 0.00000109 || lr: [0.001]
Epoch [24900/200000] Training Loss: 0.00000060 Testing Loss: 0.00000063 || lr: [0.001]
Epoch [25000/200000] Training Loss: 0.00000074 Testing Loss: 0.00000087 || lr: [0.001]
Epoch [25100/200000] Training Loss: 0.00000094 Testing Loss: 0.00000110 || lr: [0.001]
Epoch [25200/200000] Training Loss: 0.00000053 Testing Loss: 0.00000056 || lr: [0.001]
Epoch [25300/200000] Training Loss: 0.00000383 Testing Loss: 0.00000292 || lr: [0.001]
Epoch [25400/200000] Training Loss: 0.00000237 Testing Loss: 0.00000326 || lr: [0.001]
Epoch [25500/200000] Training Loss: 0.00000083 Testing Loss: 0.00000085 || lr: [0.001]
Epoch [25600/200000] Training Loss: 0.00000058 Testing Loss: 0.00000061 || lr: [0.001]
Epoch [25700/200000] Training Loss: 0.00000055 Testing Loss: 0.00000058 || lr: [0.001]
Epoch [25800/200000] Training Loss: 0.00000725 Testing Loss: 0.00001078 || lr: [0.001]
Epoch [25900/200000] Training Loss: 0.00000053 Testing Loss: 0.00000055 || lr: [0.001]
Epoch [26000/200000] Training Loss: 0.00000051 Testing Loss: 0.00000054 || lr: [0.001]
Epoch [26100/200000] Training Loss: 0.00000053 Testing Loss: 0.00000056 || lr: [0.001]
Epoch [26200/200000] Training Loss: 0.00004621 Testing Loss: 0.00004700 || lr: [0.001]
Epoch [26300/200000] Training Loss: 0.00000091 Testing Loss: 0.00000098 || lr: [0.001]
Epoch [26400/200000] Training Loss: 0.00000066 Testing Loss: 0.00000069 || lr: [0.001]
Epoch [26500/200000] Training Loss: 0.00000055 Testing Loss: 0.00000058 || lr: [0.001]
Epoch [26600/200000] Training Loss: 0.00000053 Testing Loss: 0.00000056 || lr: [0.001]
Epoch [26700/200000] Training Loss: 0.00000053 Testing Loss: 0.00000055 || lr: [0.001]
Epoch [26800/200000] Training Loss: 0.00000050 Testing Loss: 0.00000053 || lr: [0.001]
Epoch [26900/200000] Training Loss: 0.00000142 Testing Loss: 0.00000117 || lr: [0.001]
Epoch [27000/200000] Training Loss: 0.00000050 Testing Loss: 0.00000052 || lr: [0.001]
Epoch [27100/200000] Training Loss: 0.00000049 Testing Loss: 0.00000051 || lr: [0.001]
Epoch [27200/200000] Training Loss: 0.00000049 Testing Loss: 0.00000051 || lr: [0.001]
Epoch [27300/200000] Training Loss: 0.00000048 Testing Loss: 0.00000050 || lr: [0.001]
Epoch [27400/200000] Training Loss: 0.00000071 Testing Loss: 0.00000081 || lr: [0.001]
Epoch [27500/200000] Training Loss: 0.00000048 Testing Loss: 0.00000051 || lr: [0.001]
Epoch [27600/200000] Training Loss: 0.00000047 Testing Loss: 0.00000050 || lr: [0.001]
Epoch [27700/200000] Training Loss: 0.00000063 Testing Loss: 0.00000076 || lr: [0.001]
Epoch [27800/200000] Training Loss: 0.00000057 Testing Loss: 0.00000059 || lr: [0.001]
Epoch [27900/200000] Training Loss: 0.00000233 Testing Loss: 0.00000236 || lr: [0.001]
Epoch [28000/200000] Training Loss: 0.00000048 Testing Loss: 0.00000050 || lr: [0.001]
Epoch [28100/200000] Training Loss: 0.00000048 Testing Loss: 0.00000050 || lr: [0.001]
Epoch [28200/200000] Training Loss: 0.00000049 Testing Loss: 0.00000052 || lr: [0.001]
Epoch [28300/200000] Training Loss: 0.00000048 Testing Loss: 0.00000051 || lr: [0.001]
Epoch [28400/200000] Training Loss: 0.00000046 Testing Loss: 0.00000049 || lr: [0.001]
Epoch [28500/200000] Training Loss: 0.00000190 Testing Loss: 0.00000188 || lr: [0.001]
Epoch [28600/200000] Training Loss: 0.00000050 Testing Loss: 0.00000053 || lr: [0.001]
Epoch [28700/200000] Training Loss: 0.00000047 Testing Loss: 0.00000050 || lr: [0.001]
Epoch [28800/200000] Training Loss: 0.00000053 Testing Loss: 0.00000057 || lr: [0.001]
Epoch [28900/200000] Training Loss: 0.00000046 Testing Loss: 0.00000048 || lr: [0.001]
