GPU: NVIDIA GeForce RTX 4090
GPU memory: 24080.88 MB
Loading existing data...
Epoch 100 / 400000 | Train Loss: 0.22252496 | Test Loss: 0.22624892 | lr: [0.0001]
Epoch 2800 / 400000 | Train Loss: 0.00884531 | Test Loss: 0.01386184 | lr: [0.0001]
Epoch 2900 / 400000 | Train Loss: 0.00835708 | Test Loss: 0.01302569 | lr: [0.0001]
Epoch 3000 / 400000 | Train Loss: 0.00795721 | Test Loss: 0.01249013 | lr: [0.0001]
Epoch 3100 / 400000 | Train Loss: 0.00745261 | Test Loss: 0.01225973 | lr: [0.0001]
Epoch 3200 / 400000 | Train Loss: 0.00723989 | Test Loss: 0.01128478 | lr: [0.0001]
Epoch 3300 / 400000 | Train Loss: 0.00625508 | Test Loss: 0.01050659 | lr: [0.0001]
Epoch 3400 / 400000 | Train Loss: 0.00589822 | Test Loss: 0.01004906 | lr: [0.0001]
Epoch 3500 / 400000 | Train Loss: 0.00584371 | Test Loss: 0.00993738 | lr: [0.0001]
Epoch 3600 / 400000 | Train Loss: 0.00612470 | Test Loss: 0.01033830 | lr: [0.0001]
Epoch 3700 / 400000 | Train Loss: 0.00538498 | Test Loss: 0.00937706 | lr: [0.0001]
Epoch 3800 / 400000 | Train Loss: 0.00509147 | Test Loss: 0.00891981 | lr: [0.0001]
Epoch 3900 / 400000 | Train Loss: 0.00471553 | Test Loss: 0.00842024 | lr: [0.0001]
Epoch 4000 / 400000 | Train Loss: 0.00504899 | Test Loss: 0.00876211 | lr: [0.0001]
Epoch 4100 / 400000 | Train Loss: 0.00496540 | Test Loss: 0.00854684 | lr: [0.0001]
Epoch 4200 / 400000 | Train Loss: 0.00444019 | Test Loss: 0.00810070 | lr: [0.0001]
Epoch 4300 / 400000 | Train Loss: 0.00427212 | Test Loss: 0.00780986 | lr: [0.0001]
Epoch 4400 / 400000 | Train Loss: 0.00405524 | Test Loss: 0.00745437 | lr: [0.0001]
Epoch 4500 / 400000 | Train Loss: 0.00406033 | Test Loss: 0.00735301 | lr: [0.0001]
Epoch 4600 / 400000 | Train Loss: 0.00423827 | Test Loss: 0.00730591 | lr: [0.0001]
Epoch 4700 / 400000 | Train Loss: 0.00397008 | Test Loss: 0.00718259 | lr: [0.0001]
Epoch 4800 / 400000 | Train Loss: 0.00387617 | Test Loss: 0.00718810 | lr: [0.0001]
Epoch 4900 / 400000 | Train Loss: 0.00413010 | Test Loss: 0.00776967 | lr: [0.0001]
Epoch 5000 / 400000 | Train Loss: 0.00361891 | Test Loss: 0.00679851 | lr: [0.0001]
Epoch 5100 / 400000 | Train Loss: 0.00463955 | Test Loss: 0.00737603 | lr: [0.0001]
Epoch 5200 / 400000 | Train Loss: 0.00380561 | Test Loss: 0.00681619 | lr: [0.0001]
Epoch 5300 / 400000 | Train Loss: 0.00342235 | Test Loss: 0.00639406 | lr: [0.0001]
Epoch 5400 / 400000 | Train Loss: 0.00313584 | Test Loss: 0.00612822 | lr: [0.0001]
Epoch 5500 / 400000 | Train Loss: 0.00365374 | Test Loss: 0.00660620 | lr: [0.0001]
Epoch 5600 / 400000 | Train Loss: 0.00352044 | Test Loss: 0.00648564 | lr: [0.0001]
Epoch 5700 / 400000 | Train Loss: 0.00310859 | Test Loss: 0.00599007 | lr: [0.0001]
Epoch 5800 / 400000 | Train Loss: 0.00359302 | Test Loss: 0.00635313 | lr: [0.0001]
Epoch 5900 / 400000 | Train Loss: 0.00408990 | Test Loss: 0.00637794 | lr: [0.0001]
Epoch 6000 / 400000 | Train Loss: 0.00293938 | Test Loss: 0.00572962 | lr: [0.0001]
Epoch 6100 / 400000 | Train Loss: 0.00336840 | Test Loss: 0.00614762 | lr: [0.0001]
Epoch 6200 / 400000 | Train Loss: 0.00289815 | Test Loss: 0.00565634 | lr: [0.0001]
Epoch 6300 / 400000 | Train Loss: 0.00425441 | Test Loss: 0.00663736 | lr: [0.0001]
Epoch 6400 / 400000 | Train Loss: 0.00285992 | Test Loss: 0.00567233 | lr: [0.0001]
Epoch 6500 / 400000 | Train Loss: 0.00289895 | Test Loss: 0.00566252 | lr: [0.0001]
Epoch 6600 / 400000 | Train Loss: 0.00272577 | Test Loss: 0.00541789 | lr: [0.0001]
Epoch 6700 / 400000 | Train Loss: 0.00282250 | Test Loss: 0.00551799 | lr: [0.0001]
Epoch 6800 / 400000 | Train Loss: 0.00243689 | Test Loss: 0.00507957 | lr: [0.0001]
Epoch 6900 / 400000 | Train Loss: 0.00247174 | Test Loss: 0.00504116 | lr: [0.0001]
Epoch 7000 / 400000 | Train Loss: 0.00236307 | Test Loss: 0.00490383 | lr: [0.0001]
Epoch 7100 / 400000 | Train Loss: 0.00239872 | Test Loss: 0.00496092 | lr: [0.0001]
Epoch 7200 / 400000 | Train Loss: 0.00262762 | Test Loss: 0.00509963 | lr: [0.0001]
Epoch 7300 / 400000 | Train Loss: 0.00256884 | Test Loss: 0.00523978 | lr: [0.0001]
Epoch 7400 / 400000 | Train Loss: 0.00223674 | Test Loss: 0.00475046 | lr: [0.0001]
Epoch 7500 / 400000 | Train Loss: 0.00349909 | Test Loss: 0.00612861 | lr: [0.0001]
Epoch 7600 / 400000 | Train Loss: 0.33687347 | Test Loss: 0.33424863 | lr: [0.0001]
Epoch 7700 / 400000 | Train Loss: 0.21704191 | Test Loss: 0.22076038 | lr: [0.0001]
Epoch 7800 / 400000 | Train Loss: 0.17286412 | Test Loss: 0.17843890 | lr: [0.0001]
Epoch 7900 / 400000 | Train Loss: 0.13390580 | Test Loss: 0.13692574 | lr: [0.0001]
Epoch 8000 / 400000 | Train Loss: 0.11423013 | Test Loss: 0.11012673 | lr: [0.0001]
Epoch 8100 / 400000 | Train Loss: 0.08751254 | Test Loss: 0.09104443 | lr: [0.0001]
Epoch 8200 / 400000 | Train Loss: 0.07357402 | Test Loss: 0.07580949 | lr: [0.0001]
Epoch 8300 / 400000 | Train Loss: 0.07139124 | Test Loss: 0.07236961 | lr: [0.0001]
Epoch 8400 / 400000 | Train Loss: 0.07446089 | Test Loss: 0.06685654 | lr: [0.0001]
Epoch 8500 / 400000 | Train Loss: 0.04782084 | Test Loss: 0.04867690 | lr: [0.0001]
Epoch 8600 / 400000 | Train Loss: 0.04486423 | Test Loss: 0.04326974 | lr: [0.0001]
Epoch 8700 / 400000 | Train Loss: 0.03753633 | Test Loss: 0.03828936 | lr: [0.0001]
Epoch 8800 / 400000 | Train Loss: 0.03569669 | Test Loss: 0.03649950 | lr: [0.0001]
Epoch 8900 / 400000 | Train Loss: 0.03435414 | Test Loss: 0.03536290 | lr: [0.0001]
Epoch 9000 / 400000 | Train Loss: 0.03498154 | Test Loss: 0.03536063 | lr: [0.0001]
Epoch 9100 / 400000 | Train Loss: 0.03024846 | Test Loss: 0.03130089 | lr: [0.0001]
Epoch 9200 / 400000 | Train Loss: 0.02759257 | Test Loss: 0.02886360 | lr: [0.0001]
Epoch 9300 / 400000 | Train Loss: 0.02543337 | Test Loss: 0.02661945 | lr: [0.0001]
Epoch 9400 / 400000 | Train Loss: 0.02381033 | Test Loss: 0.02491749 | lr: [8e-05]
Epoch 9500 / 400000 | Train Loss: 0.02188823 | Test Loss: 0.02314043 | lr: [8e-05]
Epoch 9600 / 400000 | Train Loss: 0.02005639 | Test Loss: 0.02132116 | lr: [8e-05]
Epoch 9700 / 400000 | Train Loss: 0.02144092 | Test Loss: 0.02304433 | lr: [8e-05]
Epoch 9800 / 400000 | Train Loss: 0.01819066 | Test Loss: 0.01952787 | lr: [8e-05]
Epoch 9900 / 400000 | Train Loss: 0.01733680 | Test Loss: 0.01862003 | lr: [8e-05]
Epoch 10000 / 400000 | Train Loss: 0.01670590 | Test Loss: 0.01799656 | lr: [8e-05]
Epoch 10100 / 400000 | Train Loss: 0.01619299 | Test Loss: 0.01753316 | lr: [8e-05]
Epoch 10200 / 400000 | Train Loss: 0.02631495 | Test Loss: 0.03076523 | lr: [8e-05]
Epoch 10300 / 400000 | Train Loss: 0.01523428 | Test Loss: 0.01654027 | lr: [8e-05]
Epoch 10400 / 400000 | Train Loss: 0.01484675 | Test Loss: 0.01613555 | lr: [8e-05]
Epoch 10500 / 400000 | Train Loss: 0.01442226 | Test Loss: 0.01569269 | lr: [8e-05]
Epoch 10600 / 400000 | Train Loss: 0.01395694 | Test Loss: 0.01521435 | lr: [8e-05]
Epoch 10700 / 400000 | Train Loss: 0.01345992 | Test Loss: 0.01471777 | lr: [8e-05]
Epoch 10800 / 400000 | Train Loss: 0.01462515 | Test Loss: 0.01518041 | lr: [8e-05]
Epoch 10900 / 400000 | Train Loss: 0.01267767 | Test Loss: 0.01390197 | lr: [8e-05]
Epoch 11000 / 400000 | Train Loss: 0.01238233 | Test Loss: 0.01359130 | lr: [8e-05]
Epoch 11100 / 400000 | Train Loss: 0.01208868 | Test Loss: 0.01328860 | lr: [8e-05]
Epoch 11200 / 400000 | Train Loss: 0.01179963 | Test Loss: 0.01297353 | lr: [8e-05]
Epoch 11300 / 400000 | Train Loss: 0.01153422 | Test Loss: 0.01268670 | lr: [8e-05]
Epoch 11400 / 400000 | Train Loss: 0.01125484 | Test Loss: 0.01238863 | lr: [6.400000000000001e-05]
Epoch 11500 / 400000 | Train Loss: 0.01101900 | Test Loss: 0.01212918 | lr: [6.400000000000001e-05]
Epoch 11600 / 400000 | Train Loss: 0.01078158 | Test Loss: 0.01186734 | lr: [6.400000000000001e-05]
Epoch 11700 / 400000 | Train Loss: 0.01054678 | Test Loss: 0.01161987 | lr: [6.400000000000001e-05]
Epoch 11800 / 400000 | Train Loss: 0.01298722 | Test Loss: 0.01517767 | lr: [6.400000000000001e-05]
Epoch 11900 / 400000 | Train Loss: 0.00998434 | Test Loss: 0.01099900 | lr: [6.400000000000001e-05]
Epoch 12000 / 400000 | Train Loss: 0.00976012 | Test Loss: 0.01073054 | lr: [6.400000000000001e-05]
Epoch 12100 / 400000 | Train Loss: 0.00960609 | Test Loss: 0.01056206 | lr: [6.400000000000001e-05]
Epoch 12200 / 400000 | Train Loss: 0.00912576 | Test Loss: 0.01007042 | lr: [6.400000000000001e-05]
Epoch 12300 / 400000 | Train Loss: 0.00884607 | Test Loss: 0.00977045 | lr: [6.400000000000001e-05]
Epoch 12400 / 400000 | Train Loss: 0.00862614 | Test Loss: 0.00953630 | lr: [6.400000000000001e-05]
Epoch 12500 / 400000 | Train Loss: 0.01026820 | Test Loss: 0.01269225 | lr: [6.400000000000001e-05]
Epoch 12600 / 400000 | Train Loss: 0.00822495 | Test Loss: 0.00910017 | lr: [6.400000000000001e-05]
Epoch 12700 / 400000 | Train Loss: 0.00804235 | Test Loss: 0.00890357 | lr: [6.400000000000001e-05]
Epoch 12800 / 400000 | Train Loss: 0.00784743 | Test Loss: 0.00869309 | lr: [6.400000000000001e-05]
Epoch 12900 / 400000 | Train Loss: 0.00767844 | Test Loss: 0.00851888 | lr: [6.400000000000001e-05]
Epoch 13000 / 400000 | Train Loss: 0.00755859 | Test Loss: 0.00837051 | lr: [6.400000000000001e-05]
Epoch 13100 / 400000 | Train Loss: 0.00739551 | Test Loss: 0.00820455 | lr: [6.400000000000001e-05]
Epoch 13200 / 400000 | Train Loss: 0.00725437 | Test Loss: 0.00802777 | lr: [6.400000000000001e-05]
Epoch 13300 / 400000 | Train Loss: 0.00726151 | Test Loss: 0.00816039 | lr: [6.400000000000001e-05]
Epoch 13400 / 400000 | Train Loss: 0.00985080 | Test Loss: 0.00853773 | lr: [6.400000000000001e-05]
Epoch 13500 / 400000 | Train Loss: 0.00674395 | Test Loss: 0.00752269 | lr: [5.120000000000001e-05]
Epoch 13600 / 400000 | Train Loss: 0.00657911 | Test Loss: 0.00734550 | lr: [5.120000000000001e-05]
Epoch 13700 / 400000 | Train Loss: 0.00658099 | Test Loss: 0.00731738 | lr: [5.120000000000001e-05]
Epoch 13800 / 400000 | Train Loss: 0.00650202 | Test Loss: 0.00736476 | lr: [5.120000000000001e-05]
Epoch 13900 / 400000 | Train Loss: 0.00734541 | Test Loss: 0.00903566 | lr: [5.120000000000001e-05]
Epoch 14000 / 400000 | Train Loss: 0.00613276 | Test Loss: 0.00687157 | lr: [5.120000000000001e-05]
Epoch 14100 / 400000 | Train Loss: 0.00606734 | Test Loss: 0.00680717 | lr: [5.120000000000001e-05]
Epoch 14200 / 400000 | Train Loss: 0.00608697 | Test Loss: 0.00678203 | lr: [5.120000000000001e-05]
Epoch 14300 / 400000 | Train Loss: 0.00629330 | Test Loss: 0.00727725 | lr: [5.120000000000001e-05]
Epoch 14400 / 400000 | Train Loss: 0.00602206 | Test Loss: 0.00689282 | lr: [5.120000000000001e-05]
Epoch 14500 / 400000 | Train Loss: 0.00604671 | Test Loss: 0.00690929 | lr: [5.120000000000001e-05]
Epoch 14600 / 400000 | Train Loss: 0.00651295 | Test Loss: 0.00737369 | lr: [5.120000000000001e-05]
Epoch 14700 / 400000 | Train Loss: 0.00564616 | Test Loss: 0.00645790 | lr: [5.120000000000001e-05]
Epoch 14800 / 400000 | Train Loss: 0.00564844 | Test Loss: 0.00620388 | lr: [5.120000000000001e-05]
Epoch 14900 / 400000 | Train Loss: 0.00542640 | Test Loss: 0.00599551 | lr: [5.120000000000001e-05]
Epoch 15000 / 400000 | Train Loss: 0.00519634 | Test Loss: 0.00586480 | lr: [5.120000000000001e-05]
Epoch 15100 / 400000 | Train Loss: 0.00518730 | Test Loss: 0.00586089 | lr: [5.120000000000001e-05]
Epoch 15200 / 400000 | Train Loss: 0.00500615 | Test Loss: 0.00567850 | lr: [5.120000000000001e-05]
Epoch 15300 / 400000 | Train Loss: 0.00527545 | Test Loss: 0.00616563 | lr: [5.120000000000001e-05]
Epoch 15400 / 400000 | Train Loss: 0.00494973 | Test Loss: 0.00567276 | lr: [5.120000000000001e-05]
Epoch 15500 / 400000 | Train Loss: 0.00477191 | Test Loss: 0.00542395 | lr: [4.0960000000000014e-05]
Epoch 15600 / 400000 | Train Loss: 0.00466680 | Test Loss: 0.00532189 | lr: [4.0960000000000014e-05]
Epoch 15700 / 400000 | Train Loss: 0.00470506 | Test Loss: 0.00528704 | lr: [4.0960000000000014e-05]
Epoch 15800 / 400000 | Train Loss: 0.00462383 | Test Loss: 0.00532553 | lr: [4.0960000000000014e-05]
Epoch 15900 / 400000 | Train Loss: 0.00458458 | Test Loss: 0.00520090 | lr: [4.0960000000000014e-05]
Epoch 16000 / 400000 | Train Loss: 0.00462605 | Test Loss: 0.00519140 | lr: [4.0960000000000014e-05]
Epoch 16100 / 400000 | Train Loss: 0.00448586 | Test Loss: 0.00512269 | lr: [4.0960000000000014e-05]
Epoch 16200 / 400000 | Train Loss: 0.00446113 | Test Loss: 0.00509461 | lr: [4.0960000000000014e-05]
Epoch 16300 / 400000 | Train Loss: 0.00443962 | Test Loss: 0.00507164 | lr: [4.0960000000000014e-05]
Epoch 16400 / 400000 | Train Loss: 0.00441197 | Test Loss: 0.00503700 | lr: [4.0960000000000014e-05]
Epoch 16500 / 400000 | Train Loss: 0.00449151 | Test Loss: 0.00515757 | lr: [4.0960000000000014e-05]
Epoch 16600 / 400000 | Train Loss: 0.00505448 | Test Loss: 0.00573372 | lr: [4.0960000000000014e-05]
Epoch 16700 / 400000 | Train Loss: 0.00440189 | Test Loss: 0.00499888 | lr: [4.0960000000000014e-05]
Epoch 16800 / 400000 | Train Loss: 0.00438043 | Test Loss: 0.00500010 | lr: [4.0960000000000014e-05]
Epoch 16900 / 400000 | Train Loss: 0.00436996 | Test Loss: 0.00505064 | lr: [4.0960000000000014e-05]
Epoch 17000 / 400000 | Train Loss: 0.00431112 | Test Loss: 0.00493140 | lr: [4.0960000000000014e-05]
Epoch 17100 / 400000 | Train Loss: 0.00428356 | Test Loss: 0.00488291 | lr: [4.0960000000000014e-05]
Epoch 17200 / 400000 | Train Loss: 0.00425092 | Test Loss: 0.00485187 | lr: [4.0960000000000014e-05]
Epoch 17300 / 400000 | Train Loss: 0.00431636 | Test Loss: 0.00498003 | lr: [4.0960000000000014e-05]
Epoch 17400 / 400000 | Train Loss: 0.00569593 | Test Loss: 0.00643238 | lr: [4.0960000000000014e-05]
Epoch 17500 / 400000 | Train Loss: 0.00416433 | Test Loss: 0.00475675 | lr: [3.2768000000000016e-05]
Epoch 17600 / 400000 | Train Loss: 0.00412851 | Test Loss: 0.00471657 | lr: [3.2768000000000016e-05]
Epoch 17700 / 400000 | Train Loss: 0.00409058 | Test Loss: 0.00467529 | lr: [3.2768000000000016e-05]
Epoch 17800 / 400000 | Train Loss: 0.00405637 | Test Loss: 0.00463984 | lr: [3.2768000000000016e-05]
Epoch 17900 / 400000 | Train Loss: 0.00402230 | Test Loss: 0.00460440 | lr: [3.2768000000000016e-05]
Epoch 18000 / 400000 | Train Loss: 0.00399103 | Test Loss: 0.00457301 | lr: [3.2768000000000016e-05]
Epoch 18100 / 400000 | Train Loss: 0.00397461 | Test Loss: 0.00456009 | lr: [3.2768000000000016e-05]
Epoch 18200 / 400000 | Train Loss: 0.00391182 | Test Loss: 0.00448891 | lr: [3.2768000000000016e-05]
Epoch 18300 / 400000 | Train Loss: 0.00387631 | Test Loss: 0.00445045 | lr: [3.2768000000000016e-05]
Epoch 18400 / 400000 | Train Loss: 0.00382476 | Test Loss: 0.00439479 | lr: [3.2768000000000016e-05]
Epoch 18500 / 400000 | Train Loss: 0.00377675 | Test Loss: 0.00434435 | lr: [3.2768000000000016e-05]
Epoch 18600 / 400000 | Train Loss: 0.00379954 | Test Loss: 0.00431779 | lr: [3.2768000000000016e-05]
Epoch 18700 / 400000 | Train Loss: 0.00374183 | Test Loss: 0.00434641 | lr: [3.2768000000000016e-05]
Epoch 18800 / 400000 | Train Loss: 0.00361160 | Test Loss: 0.00417533 | lr: [3.2768000000000016e-05]
Epoch 18900 / 400000 | Train Loss: 0.00356724 | Test Loss: 0.00413270 | lr: [3.2768000000000016e-05]
Epoch 19000 / 400000 | Train Loss: 0.00351963 | Test Loss: 0.00408175 | lr: [3.2768000000000016e-05]
Epoch 19100 / 400000 | Train Loss: 0.00375974 | Test Loss: 0.00448486 | lr: [3.2768000000000016e-05]
Epoch 19200 / 400000 | Train Loss: 0.00398763 | Test Loss: 0.00433964 | lr: [3.2768000000000016e-05]
Epoch 19300 / 400000 | Train Loss: 0.00359571 | Test Loss: 0.00415375 | lr: [3.2768000000000016e-05]
Epoch 19400 / 400000 | Train Loss: 0.00468564 | Test Loss: 0.00540640 | lr: [3.2768000000000016e-05]
Epoch 19500 / 400000 | Train Loss: 0.00337295 | Test Loss: 0.00392791 | lr: [3.2768000000000016e-05]
Epoch 19600 / 400000 | Train Loss: 0.00337552 | Test Loss: 0.00394595 | lr: [3.2768000000000016e-05]
Epoch 19700 / 400000 | Train Loss: 0.00336443 | Test Loss: 0.00391429 | lr: [3.2768000000000016e-05]
Epoch 19800 / 400000 | Train Loss: 0.00331892 | Test Loss: 0.00386860 | lr: [3.2768000000000016e-05]
Epoch 19900 / 400000 | Train Loss: 0.00328327 | Test Loss: 0.00383098 | lr: [3.2768000000000016e-05]
Epoch 20000 / 400000 | Train Loss: 0.00326642 | Test Loss: 0.00381801 | lr: [3.2768000000000016e-05]
Epoch 20100 / 400000 | Train Loss: 0.00354434 | Test Loss: 0.00425397 | lr: [3.2768000000000016e-05]
Epoch 20200 / 400000 | Train Loss: 0.00322487 | Test Loss: 0.00377773 | lr: [3.2768000000000016e-05]
Epoch 20300 / 400000 | Train Loss: 0.00320091 | Test Loss: 0.00374743 | lr: [3.2768000000000016e-05]
Epoch 20400 / 400000 | Train Loss: 0.00318395 | Test Loss: 0.00372917 | lr: [3.2768000000000016e-05]
Epoch 20500 / 400000 | Train Loss: 0.00316285 | Test Loss: 0.00370306 | lr: [3.2768000000000016e-05]
Epoch 20600 / 400000 | Train Loss: 0.00314988 | Test Loss: 0.00369011 | lr: [3.2768000000000016e-05]
Epoch 20700 / 400000 | Train Loss: 0.00310980 | Test Loss: 0.00365048 | lr: [3.2768000000000016e-05]
Epoch 20800 / 400000 | Train Loss: 0.00309617 | Test Loss: 0.00363407 | lr: [3.2768000000000016e-05]
Epoch 20900 / 400000 | Train Loss: 0.00308489 | Test Loss: 0.00361901 | lr: [3.2768000000000016e-05]
Epoch 21000 / 400000 | Train Loss: 0.00316231 | Test Loss: 0.00373924 | lr: [3.2768000000000016e-05]
Epoch 21100 / 400000 | Train Loss: 0.00303261 | Test Loss: 0.00357068 | lr: [3.2768000000000016e-05]
Epoch 21200 / 400000 | Train Loss: 0.00300782 | Test Loss: 0.00355367 | lr: [3.2768000000000016e-05]
Epoch 21300 / 400000 | Train Loss: 0.00466349 | Test Loss: 0.00460934 | lr: [3.2768000000000016e-05]
Epoch 21400 / 400000 | Train Loss: 0.00295113 | Test Loss: 0.00348392 | lr: [3.2768000000000016e-05]
Epoch 21500 / 400000 | Train Loss: 0.00296704 | Test Loss: 0.00349666 | lr: [3.2768000000000016e-05]
Epoch 21600 / 400000 | Train Loss: 0.00291605 | Test Loss: 0.00344497 | lr: [3.2768000000000016e-05]
Epoch 21700 / 400000 | Train Loss: 0.00312060 | Test Loss: 0.00362778 | lr: [3.2768000000000016e-05]
Epoch 21800 / 400000 | Train Loss: 0.00282690 | Test Loss: 0.00336036 | lr: [3.2768000000000016e-05]
Epoch 21900 / 400000 | Train Loss: 0.00348273 | Test Loss: 0.00424741 | lr: [3.2768000000000016e-05]
Epoch 22000 / 400000 | Train Loss: 0.00285540 | Test Loss: 0.00336257 | lr: [3.2768000000000016e-05]
Epoch 22100 / 400000 | Train Loss: 0.00363757 | Test Loss: 0.00384629 | lr: [3.2768000000000016e-05]
Epoch 22200 / 400000 | Train Loss: 0.00273466 | Test Loss: 0.00324873 | lr: [3.2768000000000016e-05]
Epoch 22300 / 400000 | Train Loss: 0.00270190 | Test Loss: 0.00322817 | lr: [3.2768000000000016e-05]
Epoch 22400 / 400000 | Train Loss: 0.00265193 | Test Loss: 0.00317536 | lr: [3.2768000000000016e-05]
Epoch 22500 / 400000 | Train Loss: 0.00285072 | Test Loss: 0.00344409 | lr: [3.2768000000000016e-05]
Epoch 22600 / 400000 | Train Loss: 0.00263102 | Test Loss: 0.00316371 | lr: [3.2768000000000016e-05]
Epoch 22700 / 400000 | Train Loss: 0.00327545 | Test Loss: 0.00368253 | lr: [3.2768000000000016e-05]
Epoch 22800 / 400000 | Train Loss: 0.00257593 | Test Loss: 0.00309403 | lr: [3.2768000000000016e-05]
Epoch 22900 / 400000 | Train Loss: 0.00258656 | Test Loss: 0.00310719 | lr: [3.2768000000000016e-05]
Epoch 23000 / 400000 | Train Loss: 0.00257106 | Test Loss: 0.00309210 | lr: [3.2768000000000016e-05]
Epoch 23100 / 400000 | Train Loss: 0.00250713 | Test Loss: 0.00302582 | lr: [3.2768000000000016e-05]
Epoch 23200 / 400000 | Train Loss: 0.00250155 | Test Loss: 0.00303355 | lr: [3.2768000000000016e-05]
Epoch 23300 / 400000 | Train Loss: 0.00267490 | Test Loss: 0.00315555 | lr: [3.2768000000000016e-05]
Epoch 23400 / 400000 | Train Loss: 0.00244061 | Test Loss: 0.00295439 | lr: [3.2768000000000016e-05]
Epoch 23500 / 400000 | Train Loss: 0.00244684 | Test Loss: 0.00296791 | lr: [3.2768000000000016e-05]
Epoch 23600 / 400000 | Train Loss: 0.00240864 | Test Loss: 0.00292148 | lr: [3.2768000000000016e-05]
Epoch 23700 / 400000 | Train Loss: 0.00238849 | Test Loss: 0.00289928 | lr: [3.2768000000000016e-05]
Epoch 23800 / 400000 | Train Loss: 0.00237382 | Test Loss: 0.00288416 | lr: [3.2768000000000016e-05]
Epoch 23900 / 400000 | Train Loss: 0.00236100 | Test Loss: 0.00287112 | lr: [3.2768000000000016e-05]
Epoch 24000 / 400000 | Train Loss: 0.00234917 | Test Loss: 0.00285933 | lr: [3.2768000000000016e-05]
Epoch 24100 / 400000 | Train Loss: 0.00233641 | Test Loss: 0.00284415 | lr: [3.2768000000000016e-05]
Epoch 24200 / 400000 | Train Loss: 0.00232236 | Test Loss: 0.00283001 | lr: [3.2768000000000016e-05]
Epoch 24300 / 400000 | Train Loss: 0.00232787 | Test Loss: 0.00282825 | lr: [3.2768000000000016e-05]
Epoch 24400 / 400000 | Train Loss: 0.00243744 | Test Loss: 0.00287092 | lr: [3.2768000000000016e-05]
Epoch 24500 / 400000 | Train Loss: 0.00235411 | Test Loss: 0.00282681 | lr: [3.2768000000000016e-05]
Epoch 24600 / 400000 | Train Loss: 0.00309586 | Test Loss: 0.00352917 | lr: [3.2768000000000016e-05]
Epoch 24700 / 400000 | Train Loss: 0.00230799 | Test Loss: 0.00278504 | lr: [3.2768000000000016e-05]
Epoch 24800 / 400000 | Train Loss: 0.00225007 | Test Loss: 0.00275545 | lr: [3.2768000000000016e-05]
Epoch 24900 / 400000 | Train Loss: 0.00288028 | Test Loss: 0.00399965 | lr: [3.2768000000000016e-05]
